category_level_1,category_level_2,category_level_3
Public Administration,National Security and International Affairs ,
Public Administration,Space Research and Technology ,
Public Administration,Administration of Economic Programs ,
Public Administration,"Administration of Housing Programs, Urban Planning, and Community Development ",
Public Administration,Administration of Environmental Quality Programs ,
Public Administration,Administration of Human Resource Programs ,
Public Administration,"Justice, Public Order, and Safety Activities ",
Public Administration,"Executive, Legislative, and Other General Government Support ",
Other Services (except Public Administration),Private Households,
Other Services (except Public Administration),"Religious, Grantmaking, Civic, Professional, and Similar Organizations","Business, Professional, Labor, Political, and Similar Organizations "
Other Services (except Public Administration),"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Civic and Social Organizations 
Other Services (except Public Administration),"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Social Advocacy Organizations 
Other Services (except Public Administration),"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Grantmaking and Giving Services 
Other Services (except Public Administration),"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Religious Organizations 
Other Services (except Public Administration),Personal and Laundry Services,Other Personal Services 
Other Services (except Public Administration),Personal and Laundry Services,Drycleaning and Laundry Services 
Other Services (except Public Administration),Personal and Laundry Services,Death Care Services 
Other Services (except Public Administration),Personal and Laundry Services,Personal Care Services 
Other Services (except Public Administration),Repair and Maintenance,Personal and Household Goods Repair and Maintenance
Other Services (except Public Administration),Repair and Maintenance,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
Other Services (except Public Administration),Repair and Maintenance,Electronic and Precision Equipment Repair and Maintenance
Other Services (except Public Administration),Repair and Maintenance,Automotive Repair and Maintenance
Accommodation and Food Services,Food Services and Drinking Places,Restaurants and Other Eating Places
Accommodation and Food Services,Food Services and Drinking Places,Drinking Places (Alcoholic Beverages)
Accommodation and Food Services,Food Services and Drinking Places,Special Food Services
Accommodation and Food Services,Accommodation,"Rooming and Boarding Houses, Dormitories, and Workers' Camps"
Accommodation and Food Services,Accommodation,RV (Recreational Vehicle) Parks and Recreational Camps
Accommodation and Food Services,Accommodation,Traveler Accommodation
"Arts, Entertainment, and Recreation","Amusement, Gambling, and Recreation Industries",Other Amusement and Recreation Industries
"Arts, Entertainment, and Recreation","Amusement, Gambling, and Recreation Industries",Gambling Industries
"Arts, Entertainment, and Recreation","Amusement, Gambling, and Recreation Industries",Amusement Parks and Arcades
"Arts, Entertainment, and Recreation","Museums, Historical Sites, and Similar Institutions",
"Arts, Entertainment, and Recreation","Performing Arts, Spectator Sports, and Related Industries","Independent Artists, Writers, and Performers"
"Arts, Entertainment, and Recreation","Performing Arts, Spectator Sports, and Related Industries","Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures"
"Arts, Entertainment, and Recreation","Performing Arts, Spectator Sports, and Related Industries","Promoters of Performing Arts, Sports, and Similar Events"
"Arts, Entertainment, and Recreation","Performing Arts, Spectator Sports, and Related Industries",Spectator Sports
"Arts, Entertainment, and Recreation","Performing Arts, Spectator Sports, and Related Industries",Performing Arts Companies
Health Care and Social Assistance,Social Assistance,Child Day Care Services
Health Care and Social Assistance,Social Assistance,Vocational Rehabilitation Services
Health Care and Social Assistance,Social Assistance,"Community Food and Housing, and Emergency and Other Relief Services"
Health Care and Social Assistance,Social Assistance,Individual and Family Services
Health Care and Social Assistance,Nursing and Residential Care Facilities,Other Residential Care Facilities
Health Care and Social Assistance,Nursing and Residential Care Facilities,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly
Health Care and Social Assistance,Nursing and Residential Care Facilities,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities"
Health Care and Social Assistance,Nursing and Residential Care Facilities,Nursing Care Facilities (Skilled Nursing Facilities)
Health Care and Social Assistance,Hospitals,Specialty (except Psychiatric and Substance Abuse) Hospitals
Health Care and Social Assistance,Hospitals,Psychiatric and Substance Abuse Hospitals
Health Care and Social Assistance,Hospitals,General Medical and Surgical Hospitals
Health Care and Social Assistance,Ambulatory Health Care Services,Other Ambulatory Health Care Services
Health Care and Social Assistance,Ambulatory Health Care Services,Home Health Care Services
Health Care and Social Assistance,Ambulatory Health Care Services,Medical and Diagnostic Laboratories
Health Care and Social Assistance,Ambulatory Health Care Services,Outpatient Care Centers
Health Care and Social Assistance,Ambulatory Health Care Services,Offices of Other Health Practitioners
Health Care and Social Assistance,Ambulatory Health Care Services,Offices of Dentists
Health Care and Social Assistance,Ambulatory Health Care Services,Offices of Physicians
Educational Services,Educational Support Services,
Educational Services,Other Schools and Instruction,
Educational Services,Technical and Trade Schools ,
Educational Services,Business Schools and Computer and Management Training,
Educational Services,"Colleges, Universities, and Professional Schools",
Educational Services,Junior Colleges,
Educational Services,Elementary and Secondary Schools,
Administrative and Support and Waste Management and Remediation Services,Waste Management and Remediation Services,Remediation and Other Waste Management Services 
Administrative and Support and Waste Management and Remediation Services,Waste Management and Remediation Services,Waste Treatment and Disposal 
Administrative and Support and Waste Management and Remediation Services,Waste Management and Remediation Services,Waste Collection 
Administrative and Support and Waste Management and Remediation Services,Administrative and Support Services,Other Support Services
Administrative and Support and Waste Management and Remediation Services,Administrative and Support Services,Services to Buildings and Dwellings
Administrative and Support and Waste Management and Remediation Services,Administrative and Support Services,Investigation and Security Services
Administrative and Support and Waste Management and Remediation Services,Administrative and Support Services,Travel Arrangement and Reservation Services
Administrative and Support and Waste Management and Remediation Services,Administrative and Support Services,Business Support Services
Administrative and Support and Waste Management and Remediation Services,Administrative and Support Services,Employment Services
Administrative and Support and Waste Management and Remediation Services,Administrative and Support Services,Facilities Support Services
Administrative and Support and Waste Management and Remediation Services,Administrative and Support Services,Office Administrative Services
Management of Companies and Enterprises,,
"Professional, Scientific, and Technical Services","Other Professional, Scientific, and Technical Services",
"Professional, Scientific, and Technical Services","Advertising, Public Relations, and Related Services",
"Professional, Scientific, and Technical Services",Scientific Research and Development Services,
"Professional, Scientific, and Technical Services","Management, Scientific, and Technical Consulting Services",
"Professional, Scientific, and Technical Services",Computer Systems Design and Related Services,
"Professional, Scientific, and Technical Services",Specialized Design Services,
"Professional, Scientific, and Technical Services","Architectural, Engineering, and Related Services",
"Professional, Scientific, and Technical Services","Accounting, Tax Preparation, Bookkeeping, and Payroll Services",
"Professional, Scientific, and Technical Services",Legal Services,
Real Estate and Rental and Leasing,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),
Real Estate and Rental and Leasing,Rental and Leasing Services,Commercial and Industrial Machinery and Equipment Rental and Leasing
Real Estate and Rental and Leasing,Rental and Leasing Services,General Rental Centers
Real Estate and Rental and Leasing,Rental and Leasing Services,Consumer Goods Rental
Real Estate and Rental and Leasing,Rental and Leasing Services,Automotive Equipment Rental and Leasing
Real Estate and Rental and Leasing,Real Estate,Activities Related to Real Estate
Real Estate and Rental and Leasing,Real Estate,Offices of Real Estate Agents and Brokers
Real Estate and Rental and Leasing,Real Estate,Lessors of Real Estate
Finance and Insurance,"Funds, Trusts, and Other Financial Vehicles ",Other Investment Pools and Funds
Finance and Insurance,"Funds, Trusts, and Other Financial Vehicles ",Insurance and Employee Benefit Funds 
Finance and Insurance,Insurance Carriers and Related Activities,"Agencies, Brokerages, and Other Insurance Related Activities"
Finance and Insurance,Insurance Carriers and Related Activities,Insurance Carriers
Finance and Insurance,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",Other Financial Investment Activities
Finance and Insurance,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",Securities and Commodity Exchanges
Finance and Insurance,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",Securities and Commodity Contracts Intermediation and Brokerage
Finance and Insurance,Credit Intermediation and Related Activities,Activities Related to Credit Intermediation 
Finance and Insurance,Credit Intermediation and Related Activities,Nondepository Credit Intermediation 
Finance and Insurance,Credit Intermediation and Related Activities,Depository Credit Intermediation 
Finance and Insurance,Monetary Authorities-Central Bank,
Information,Other Information Services,
Information,"Data Processing, Hosting, and Related Services",
Information,Telecommunications,Other Telecommunications
Information,Telecommunications,Satellite Telecommunications
Information,Telecommunications,Wired and Wireless Telecommunications Carriers
Information,Broadcasting (except Internet),Cable and Other Subscription Programming
Information,Broadcasting (except Internet),Radio and Television Broadcasting
Information,Motion Picture and Sound Recording Industries,Sound Recording Industries
Information,Motion Picture and Sound Recording Industries,Motion Picture and Video Industries
Information,Publishing Industries (except Internet),Software Publishers
Information,Publishing Industries (except Internet),"Newspaper, Periodical, Book, and Directory Publishers"
Transportation and Warehousing,Warehousing and Storage,
Transportation and Warehousing,Couriers and Messengers,Local Messengers and Local Delivery
Transportation and Warehousing,Couriers and Messengers,Couriers and Express Delivery Services
Transportation and Warehousing,Postal Service,
Transportation and Warehousing,Support Activities for Transportation,Other Support Activities for Transportation
Transportation and Warehousing,Support Activities for Transportation,Freight Transportation Arrangement
Transportation and Warehousing,Support Activities for Transportation,Support Activities for Road Transportation
Transportation and Warehousing,Support Activities for Transportation,Support Activities for Water Transportation
Transportation and Warehousing,Support Activities for Transportation,Support Activities for Rail Transportation
Transportation and Warehousing,Support Activities for Transportation,Support Activities for Air Transportation
